# *** THE ACT OF 15 NOVEMBER 1812, READ - 17 September 2026. ***
# *** Row 140. The image was one click away and had never been opened, and it closes the question it
# was opened to answer - in the direction nobody wanted. ***
#
# *** DGS 007713375, image 02668 *** - which is the film already sitting on this archive's work list as
# row 5, "Read DGS 7713375, the Montevideo cathedral baptisms". Index ark 1:1:6D7Z-BD56; image ark
# 3:1:3Q9M-C9BW-X71N-G. Read by the DeepZoom method at 3603 x 2735.
#
# *** THE TRANSCRIPTION. *** Right-hand page, third act, margin heading "Manuel Lorenzo".
line	reading
the act	"En quinze de Noviembre de mil ocho cientos doze, yo el P[resbite]ro D[o]n *** JUAN LLOBERAS ***, Then[ien]te Cura de esta Y[glesi]a matriz de Mont[evideo], bautice solemnem[ent]e en ella a *** MANUEL LORENZO *** que nacio ayer, hijo legitimo de *** RAMON SERENA nat[ura]l de VALDEMORO en CASTILLA LA NUEVA ***, y de *** MARIA JOSEFA GONZALEZ nat[ura]l de la Ysla de Canarias, LANZAROTE ***. Ab[uelo]s pat[ernos] *** SALVADOR SERENA y ANA DE CUBAS ***; id. mat[ernos] *** MARCIAL DE LEON GONZALEZ e YSAVEL LORENZA ***. Padrinos D[o]n *** MANUEL DE OCAMPO *** y D[on]a Anto[nia]..."
#
# ================= *** THE FINDING, AND IT IS A CLOSURE RATHER THAN A JOIN *** =================
# *** RAMON IS NATURAL DE VALDEMORO, IN CASTILLA LA NUEVA. *** Valdemoro is a town about twenty-seven
# kilometres south of MADRID. *** SANCHO WAS "NATURAL DE CORDOVA LA LLANA" - ANDALUSIA, five hundred
# kilometres away. ***
# *** SO THE TWO URUGUAYAN LERENA HOUSES ARE TWO SEPARATE SPANISH IMMIGRATIONS. *** They are not
# brothers, they are not cousins out of one town, and the surname entered the Banda Oriental
# *** TWICE, from opposite ends of Spain. ***
#
# *** AND THE COINCIDENCE THAT MADE IT WORTH ASKING IS NOW EXPLAINED AND DISCHARGED. ***
# This archive noticed that Sancho's father is written *** "FELIZ GERENA" *** on a Montevideo act of
# *** 1811 *** and Ramon's father *** "SALVADOR GERENA" *** on one of *** 1812 ***, and said the shared
# spelling was "a scribal habit of one place and one time rather than two families choosing the same
# variant by chance." *** THAT WAS EXACTLY RIGHT, AND IT WAS A REASON TO LOOK RATHER THAN TO BELIEVE. ***
# The act shows the same clerk-world writing *** SERENA ***, not Gerena - and both men were baptising
# children at *** THE SAME CHURCH, THE IGLESIA MATRIZ OF MONTEVIDEO, ONE YEAR APART. *** Two families
# of the same rare surname, in one small city, at one font, from opposite ends of Spain.
#
# *** WHAT THE ACT GIVES THAT THE INDEX DID NOT. ***
what	the index	the act
The father's surname	*** "Ramon Lerena" ***	*** "RAMON SERENA" *** - and SERENA is one of the very spellings the army drawer of Cajon 985 interfiles with Lerena, Lorena and Lera.
Where the father is from	*** nothing ***	*** VALDEMORO, CASTILLA LA NUEVA. The whole question, answered in five words. ***
Where the mother is from	nothing	*** THE ISLAND OF LANZAROTE, CANARY ISLANDS. *** Maria Josefa Gonzalez is a *canaria* - which is a migration stream of its own into the River Plate and was not suspected here.
The maternal grandparents	"Matias Marcial de Leon Gonzalez" and "Antonia de Leon Gonzalez" *** listed only as "other people on this record" ***	*** MARCIAL DE LEON GONZALEZ and YSAVEL LORENZA *** - so the index's "Antonia" is the GODMOTHER, not the grandmother, and the grandmother is an *** YSAVEL LORENZA *** the index never named. *** The child MANUEL LORENZO is very probably named for her. ***
The church	*** "Union, Montevideo" ***	*** "esta Yglesia matriz de Montevideo" - the CATHEDRAL, not Union. *** The index's placename is wrong.
#
# *** WHAT IT COSTS AND WHAT IT BUYS. ***
# *** IT COSTS the hope that the Uruguayan Lerenas would turn out to be one kindred and that Pablo
# Armando might be found somewhere inside it. *** Two arrivals means two haystacks, not one.
# *** IT BUYS a hard place-name where there was none. *** Ramon's people are from VALDEMORO, and
# Valdemoro parish registers are a finite, searchable thing. *** SALVADOR SERENA and ANA DE CUBAS were
# married in Spain, and their marriage is findable. ***
# *** AND IT BUYS A METHOD POINT WORTH MORE THAN EITHER: *** the index gave four facts and the act gave
# nine, including the only one that mattered. *** The image was free, it was one click from a record
# this archive had already found, and it sat unopened for a day. ***
#
# ============ AND THEN VALDEMORO WAS TESTED, THE SAME DAY - row 141 ============
# *** The act bought a hard Spanish place-name. The first thing to ask of a place-name is whether its
# registers are reachable, and the answer here is NO - not from this desk. ***
test	result	reading
*** FamilySearch CATALOGUE, place = Valdemoro, Madrid, Spain ***	*** ONE item, and it is a CENSUS. *** The place note reads "SEE: PART OF MADRID".	*** The town exists in the catalogue, so the search works. ***
*** Same catalogue, place = Valdemoro, subject = CHURCH RECORDS ***	*** "No Results Found". ***	*** CONTROLLED, and decisive: FAMILYSEARCH HOLDS NO PARISH REGISTERS FOR VALDEMORO. *** The control is the line above - the place resolves and returns its census, so this null is about the holdings and not about the query.
*** Indexed records, surname SERENA, "Valdemoro, Madrid, Spain" ***	*** 79 hits - and NOT ONE of them is Valdemoro. *** The places returned are Madrid city, Toledo, Murcia, Almeria, Huesca, Barbastro.	*** THE PLACE FILTER SILENTLY WIDENED TO THE PROVINCE, exactly as it did for Santa Fe in Argentina. *** Recorded again because it has now caused a false reading twice: *** a place-filtered result must be checked against the place field on the rows themselves. ***
#
